"Canonical URL","RSD Name","Author","Skill Statement","Category","Keywords","Standards","Certifications","Occupation Major Groups","Occupation Minor Groups","Broad Occupations","Detailed Occupations","O*Net Job Codes","Employers","Alignment Name","Alignment URL","Alignment Framework"
"https://osmt.wgu.edu/api/skills/699694f8-b501-4de3-976a-96ee8fa2c024","Identify Problematic Factors","Western Governors University","Identify factors that influence a problem.","Critical Thinking","Critical Thinking; Operations; Social Emotional Learning (SEL): General; Social Emotional Learning (SEL): Executive Function & Responsible Decision Making; WGUSID: 8131","NICE_SP_RSK; NICE_SP_DEV; NICE_SP_ARC; NICE_SP_TRD; NICE_SP_SRP; NICE_SP_TST; NICE_SP_SYS; NICE_OV_MGT; NICE_AN_TWA; NICE_AN_EXP; NICE_AN_ASA; NICE_AN_TGT; NICE_AN_LNG; NICE_CO_CLO; NICE_CO_OPL; NICE_CO_OPS; NICE_OV_PMA; NICE_OM_ANA; NICE_PR_CIR; ATD.Prof.EI; ATD.Prof.ID; ATD.Prof.TDF; ISTE.Coach.C.3a; ISTE.Coach.CA.1a; ISTE.Coach.CA.1c; ISTE.Coach.CL.2c; ISTE.Coach.PLF.5b; ATD.Pers.CL; ATD.Pers.PM; NICE_OM_NET; NICE_OM_ADM; NICE_PR_CDA; NICE_PR_VAM; ATD.Org.CBP; ISTE.Coach.CL.2a; ISTE.Coach.CL.2b; ISTE.Coach.DCA.7c; NICE_OV_SPP; NICE_OV_EXL; NICE_OV_LGA; NICE_OV_TEA; NICE_OM_DTA; NICE_OM_STS; ISTE.Coach.CA.1e","","11-0000; 33-0000","11-1000; 11-2000; 11-3000; 11-9000; 33-1000; 33-3000","11-1010; 11-1020; 11-2010; 11-2020; 11-2030; 11-3020; 11-3050; 11-3070; 11-3110; 11-3120; 11-3130; 11-9020; 11-9030; 11-9110; 11-9150; 11-9190; 33-1010; 33-3020","11-1011; 11-1021; 11-2011; 11-2021; 11-2022; 11-3021; 11-3051; 11-3071; 11-3111; 11-3121; 11-3131; 11-9021; 11-9033; 11-9039; 11-9111; 11-9151; 11-9198","","","Critical Thinking","https://lightcast.io/open-skills/skills/KS122J56PZMMFL1SVY1F",""
"https://osmt.wgu.edu/api/skills/690a9245-de8e-4fef-b656-810ab55b7f08","Create Goal-Tracking Project Plans","Western Governors University","Create project plans to track goal completion.","Planning","Planning; Planning Tools; MS Office; MS Project; Visio; Social Emotional Learning (SEL): General; Social Emotional Learning (SEL): Executive Function & Responsible Decision Making; WGUSID: 8509","","","11-0000; 36831-0000","11-1000; 11-2000; 11-3000; 11-9000","11-1010; 11-1020; 11-2010; 11-2020; 11-2030; 11-3010; 11-3110; 11-9020; 11-9110","11-1011; 11-1021; 11-2011; 11-2021; 11-2022; 11-2032; 11-2033; 11-3012; 11-3013; 11-3111; 11-9021; 11-9111","","","Planning","https://skills.emsidata.com/skills/ESEB1D4619E6E83A061D",""
"https://osmt.wgu.edu/api/skills/52ad1f50-94c3-4a69-86a9-0a36348975d3","Collaborate to Resolve Issues","Western Governors University","Collaborate with team members to resolve issues.","Teamwork","Team Oriented; Teamwork; Team Building; Team Management; MS Office; Social Emotional Learning (SEL): General; Social Emotional Learning (SEL): Interpersonal Communication; WGUSID: 8737","NICE_SP_RSK; NICE_SP_DEV; NICE_SP_ARC; NICE_SP_TRD; NICE_SP_SRP; NICE_SP_TST; NICE_SP_SYS; NICE_OV_MGT; NICE_AN_TWA; NICE_AN_EXP; NICE_AN_ASA; NICE_AN_TGT; NICE_AN_LNG; NICE_CO_CLO; NICE_CO_OPL; NICE_CO_OPS; NICE_OV_PMA; NICE_OM_ANA; NICE_PR_CIR; NICE_OM_NET; NICE_OM_ADM; NICE_PR_CDA; NICE_PR_INF; NICE_OV_SPP; NICE_OV_EXL; NICE_OV_LGA; NICE_OV_TEA; NICE_OM_DTA; NICE_OM_STS","","11-0000; 19-0000; 33-0000","11-1000; 11-2000; 11-3000; 11-9000; 19-4000; 33-1000; 33-3000","11-1010; 11-1020; 11-2010; 11-2020; 11-2030; 11-3020; 11-9020; 11-9030; 11-9110; 11-9150; 19-4090; 33-1010; 33-3010; 33-3020; 33-3050","11-1011; 11-1021; 11-2011; 11-2021; 11-2022; 11-3021; 11-9021; 11-9111; 11-9151","","","Teamwork","https://skills.emsidata.com/skills/KSKJX44T33B6D4UCC8CB",""
"https://osmt.wgu.edu/api/skills/72359e10-9682-4ff6-afb4-452700d1b4c1","Communicate a Project's Purpose","Western Governors University","Communicate the purpose of a project to team members to gain acceptance and buy-in.","Teamwork","Team Oriented; Teamwork; Team Building; Team Management; MS Office; Social Emotional Learning (SEL): General; Social Emotional Learning (SEL): Interpersonal Communication; WGUSID: 8738","NICE_SP_RSK; NICE_SP_DEV; NICE_SP_ARC; NICE_SP_TRD; NICE_SP_SRP; NICE_SP_TST; NICE_SP_SYS; NICE_OV_MGT; NICE_AN_TWA; NICE_AN_EXP; NICE_AN_ASA; NICE_AN_TGT; NICE_AN_LNG; NICE_CO_CLO; NICE_CO_OPL; NICE_CO_OPS; NICE_OV_PMA; NICE_OM_ANA; NICE_OM_NET; NICE_OM_ADM; NICE_OV_SPP; NICE_OV_EXL; NICE_OV_LGA; NICE_OV_TEA; NICE_OM_DTA; NICE_OM_STS","","11-0000; 33-0000","11-1000; 11-2000; 11-3000; 11-9000; 33-1000; 33-3000","11-1010; 11-1020; 11-2010; 11-2020; 11-2030; 11-3020; 11-9020; 11-9030; 11-9110; 11-9150; 33-1010; 33-3020; 33-3050","11-1011; 11-1021; 11-2011; 11-2021; 11-2022; 11-3021; 11-9021; 11-9111; 11-9151","","","Teamwork","https://skills.emsidata.com/skills/KSKJX44T33B6D4UCC8CB",""
"https://osmt.wgu.edu/api/skills/df3e755c-3a40-4e20-99e4-e52fee8435a7","Labor and Cost Estimation","Western Governors University","Estimate the labor hours and costs for a project.","Budgeting","Microsoft Excel; QuickBooks; Budgeting; Budget Management; Project Budgeting; WGUSID: 8021","NICE_OV_MGT; NICE_AN_LNG; NICE_OV_PMA; ATD.Prof.ID; ATD.Prof.TDF; ATD.Pers.PM","CPA; CMA","11-0000; 33-0000","11-1000; 11-2000; 11-3000; 11-9000; 33-1000","11-1010; 11-1020; 11-2010; 11-2020; 11-2030; 11-3010; 11-3020; 11-3030; 11-3050; 11-3060; 11-3070; 11-3110; 11-3120; 11-3130; 11-9020; 11-9030; 11-9110; 11-9150; 11-9190; 33-1010","11-1011; 11-1021; 11-2011; 11-2021; 11-2022; 11-2032; 11-2033; 11-3012; 11-3013; 11-3021; 11-3031; 11-3051; 11-3061; 11-3071; 11-3111; 11-3121; 11-3131; 11-9021; 11-9031; 11-9032; 11-9033; 11-9039; 11-9111; 11-9151; 11-9199","","","Budgeting","https://skills.emsidata.com/skills/KS120HK5XY6JV257QLTX","Lightcast Open Skills Library"
"https://osmt.wgu.edu/api/skills/0a653f1d-a3db-4a37-be3f-e8ed80b3fbd4","Market Research","Western Governors University","Identify competitors and business opportunities through market research.","Business Development","Research; SAP; Marketing; Microsoft Office Suite; Business Development; Adobe Systems Adobe Acrobat; Microsoft Dynamics AX; Oracle Peoplesoft; Relational Database Management Software; SQL; Market Research; WGUSID: 8034","NICE_SP_TRD; NICE_AN_TWA; NICE_AN_EXP; NICE_AN_ASA; NICE_AN_TGT; NICE_AN_LNG; NICE_CO_CLO; NICE_CO_OPL; NICE_CO_OPS; NICE_OV_SPP","","11-0000","11-1000; 11-2000; 11-3000; 11-9000","11-1010; 11-1020; 11-2010; 11-2020; 11-2030; 11-3020; 11-3030; 11-3050; 11-3060; 11-9020; 11-9110; 11-9190","11-1011; 11-1021; 11-2011; 11-2021; 11-2022; 11-3021; 11-3031; 11-3051; 11-3061; 11-9021; 11-9111; 11-9198","","","Business Development","https://skills.emsidata.com/skills/KS1212B6QR5SK1LSD4S4",""
"https://osmt.wgu.edu/api/skills/339f7e2b-ef39-4ae5-b078-cbd0341ee328","Identify Available Resources","Western Governors University","Identify available resources across an organization that can participate in a project.","Coordinating","Coordinating; Microsoft Project; WGUSID: 8119","NICE_SP_RSK; NICE_SP_DEV; NICE_SP_ARC; NICE_SP_TRD; NICE_SP_SRP; NICE_SP_TST; NICE_SP_SYS; NICE_OV_MGT; NICE_AN_TWA; NICE_AN_EXP; NICE_AN_ASA; NICE_AN_TGT; NICE_AN_LNG; NICE_CO_CLO; NICE_CO_OPL; NICE_CO_OPS; NICE_OV_PMA; NICE_OM_ANA; ATD.Prof.ID; ATD.Prof.TA; ATD.Prof.TDF; ATD.Pers.PM; NICE_OV_SPP; NICE_OV_EXL; NICE_OV_LGA; NICE_OV_TEA","","11-0000; 33-0000","11-1000; 11-2000; 11-3000; 11-9000; 33-1000; 33-3000","11-1010; 11-1020; 11-2010; 11-2020; 11-2030; 11-3010; 11-3020; 11-3030; 11-3050; 11-3060; 11-3070; 11-3110; 11-3120; 11-3130; 11-9020; 11-9030; 11-9110; 11-9150; 11-9190; 33-1010; 33-3020; 33-3050","11-1011; 11-1021; 11-2011; 11-2021; 11-2022; 11-3021; 11-3031; 11-3051; 11-3061; 11-3071; 11-3111; 11-3121; 11-3131; 11-9021; 11-9111; 11-9151; 11-9198","","","Coordinating","https://skills.emsidata.com/skills/KS7G2F36GFX1K55V6GK4",""
"https://osmt.wgu.edu/api/skills/18c1c5d1-ff05-4530-b3bc-2781b8f2c328","Employee Performance Evaluation","Western Governors University","Evaluate employee performance to identify opportunities for growth and development.","People Management","Management; MS Office; People Management; Personnel Management; WGUSID: 8494","NICE_OV_MGT; NICE_AN_TWA; NICE_AN_EXP; NICE_AN_ASA; NICE_AN_TGT; NICE_AN_LNG; NICE_CO_CLO; NICE_CO_OPL; NICE_CO_OPS; NICE_OV_PMA; ATD.Org.DA; ATD.Prof.EI; ATD.Prof.ID; ATD.Prof.TDF; ISTE.Coach.C.3a; ISTE.Coach.CA.1a; ISTE.Coach.CA.1c; ISTE.Coach.CL.2c; ISTE.Coach.PLF.5b; ISTE.Coach.DDM.6c; ATD.Pers.CL; NICE_OV_EXL","","11-0000","11-1000; 11-2000; 11-3000; 11-9000","11-1020; 11-2010; 11-2020; 11-2030; 11-3010; 11-3020; 11-3050; 11-3070; 11-3110; 11-3120; 11-3130; 11-9020; 11-9030; 11-9190","11-1021; 11-2011; 11-2021; 11-2022; 11-3021; 11-3051; 11-3071; 11-3111; 11-3121; 11-3131; 11-9021; 11-9033; 11-9039; 11-9198","","","People Management","https://skills.emsidata.com/skills/ES71C18378814E6740D6",""
"https://osmt.wgu.edu/api/skills/cecc2470-8415-4b75-ac08-f584340f4dee","Define Employee Progress Targets","Western Governors University","Define realistic targets that encourage employee progress.","People Management","Management; MS Office; People Management; Personnel Management; WGUSID: 8496","NICE_OV_MGT; NICE_AN_TWA; NICE_AN_EXP; NICE_AN_ASA; NICE_AN_TGT; NICE_AN_LNG; NICE_CO_CLO; NICE_CO_OPL; NICE_CO_OPS; NICE_OV_PMA; ATD.Prof.EI; ATD.Prof.ID; ATD.Prof.TDF; ISTE.Coach.C.3a; ISTE.Coach.CA.1a; ISTE.Coach.CA.1c; ISTE.Coach.CL.2c; ISTE.Coach.PLF.5c; ATD.Org.ODC; ISTE.Coach.DDM.6c; ATD.Pers.CL; ATD.Pers.PM; ATD.Org.CBP; ISTE.Coach.PLF.5a; NICE_OV_EXL; ATD.Pers.LL","","11-0000","11-1000; 11-2000; 11-3000; 11-9000","11-1020; 11-2010; 11-2020; 11-2030; 11-3010; 11-3020; 11-3050; 11-3070; 11-3110; 11-3120; 11-3130; 11-9020; 11-9030; 11-9190","11-1021; 11-2011; 11-2021; 11-2022; 11-3021; 11-3051; 11-3071; 11-3111; 11-3121; 11-3131; 11-9021; 11-9033; 11-9039; 11-9198","","","People Management","https://skills.emsidata.com/skills/ES71C18378814E6740D6",""
"https://osmt.wgu.edu/api/skills/8655e1f1-49db-41a7-97bb-74b3d8fcf871","Professional Development Identification","Western Governors University","Identify areas for personal professional development.","Professional Development Programs","Professional Development; Professional Development Programs; WGUSID: 8543","NICE_SP_RSK; NICE_SP_DEV; NICE_SP_ARC; NICE_SP_TRD; NICE_SP_SRP; NICE_SP_TST; NICE_SP_SYS; NICE_OV_MGT; NICE_AN_TWA; NICE_AN_EXP; NICE_AN_ASA; NICE_AN_TGT; NICE_AN_LNG; NICE_CO_CLO; NICE_CO_OPL; NICE_CO_OPS; NICE_OV_PMA; NICE_OM_ANA; NICE_PR_CIR; NICE_IN_FOR; ATD.Org.DA; ATD.Prof.EI; ATD.Prof.ID; ATD.Prof.TDF; ATD.Pers.CL; NICE_OM_NET; NICE_OM_ADM; NICE_PR_CDA; NICE_PR_VAM; ATD.Prof.KM; ISTE.Coach.CL.2a; ISTE.Coach.CL.2b; NICE_PR_INF; NICE_OV_SPP; NICE_OV_EXL; NICE_OV_LGA; NICE_OV_TEA; NICE_OM_DTA; NICE_OM_STS; ATD.Pers.LL","","11-0000","11-1000; 11-2000; 11-3000; 11-9000","11-1020; 11-2010; 11-2020; 11-2030; 11-3020; 11-3030; 11-3110; 11-3120; 11-3130; 11-9020; 11-9030; 11-9110; 11-9150","11-1021; 11-2011; 11-2021; 11-2022; 11-3021; 11-3031; 11-3111; 11-3121; 11-3131; 11-9021; 11-9033; 11-9039; 11-9111; 11-9151","","","Professional Development Programs","https://skills.emsidata.com/skills/KS128376S3JHN6DSR8G3",""
"https://osmt.wgu.edu/api/skills/a805a492-e003-4bba-8114-b5172270ec6a","Social Media Channels Identification","Western Governors University","Identify the social media channels that best reach prospective customers of a product or service.","Social Media Marketing","Social Media; Marketing; Social Media Marketing; Social Media Strategy; Facebook; Twitter; LinkedIn; Snapchat; Instagram; TikTok; Sprout Social; Hootsuite; WGUSID: 8677","","","11-0000","11-2000","11-2010; 11-2020; 11-2030","11-2011; 11-2021","","","Social Media Marketing","https://skills.emsidata.com/skills/KS440PW66NNLYJ09D6MC",""
"https://osmt.wgu.edu/api/skills/1734b4ce-e808-46cf-873e-60a400a4dae4","Outcomes Identification","Western Governors University","Identify potential outcomes for a given situation based on available information.","Strategic Thinking","Strategic Thinking; Strategy; WGUSID: 8713","NICE_SP_RSK; NICE_SP_DEV; NICE_SP_ARC; NICE_SP_TRD; NICE_SP_SRP; NICE_SP_TST; NICE_SP_SYS; NICE_OV_MGT; NICE_AN_TWA; NICE_AN_EXP; NICE_AN_ASA; NICE_AN_TGT; NICE_AN_LNG; NICE_CO_CLO; NICE_CO_OPL; NICE_CO_OPS; NICE_PR_CIR; ATD.Prof.ID; ATD.Prof.TDF; ISTE.Coach.C.3a; ISTE.Coach.CA.1a; ISTE.Coach.CA.1c; ISTE.Coach.CL.2c; ISTE.Coach.PLF.5b; ISTE.Coach.PLF.5c; ATD.Pers.CL; ATD.Pers.PM; NICE_PR_CDA; ATD.Org.CBP; ATD.Prof.KM; ISTE.Coach.CL.2a; ISTE.Coach.CL.2b; ISTE.Coach.PLF.5a; NICE_PR_INF; NICE_OV_SPP; NICE_OV_EXL; ISTE.Coach.CA.1e; ISTE.Coach.C.3c","","11-0000","11-1000; 11-2000; 11-3000; 11-9000","11-1010; 11-2010; 11-2020; 11-2030; 11-3010; 11-3020; 11-3130; 11-9020; 11-9030","11-1011; 11-2011; 11-2021; 11-2022; 11-3021; 11-3131; 11-9021; 11-9033; 11-9039","","","Strategic Thinking","https://skills.emsidata.com/skills/KS441075WGFJJ4GRFG2Q",""
"https://osmt.wgu.edu/api/skills/f3912d53-2f18-478c-afd8-c30da1303202","Proposed Solution Risks Identification","Western Governors University","Identify the risks associated with a proposed solution.","Strategic Thinking","Problem Solving; Strategic Thinking; Strategy; WGUSID: 8714","NICE_SP_RSK; NICE_SP_DEV; NICE_SP_ARC; NICE_SP_TRD; NICE_SP_SRP; NICE_SP_TST; NICE_SP_SYS; NICE_OV_MGT; NICE_AN_TWA; NICE_AN_EXP; NICE_AN_ASA; NICE_AN_TGT; NICE_AN_LNG; NICE_CO_CLO; NICE_CO_OPL; NICE_CO_OPS; NICE_PR_CIR; ATD.Prof.ID; ATD.Prof.TDF; ISTE.Coach.C.3a; ISTE.Coach.CA.1a; ISTE.Coach.CL.2c; ISTE.Coach.PLF.5b; ISTE.Coach.PLF.5c; ATD.Pers.CL; ATD.Pers.PM; NICE_PR_CDA; ATD.Org.CBP; ISTE.Coach.CL.2a; ISTE.Coach.CL.2b; ISTE.Coach.PLF.5a; NICE_PR_INF; NICE_OV_SPP; NICE_OV_EXL; ISTE.Coach.CA.1e; ISTE.Coach.C.3c","","11-0000","11-1000; 11-2000; 11-3000; 11-9000","11-1010; 11-2010; 11-2020; 11-2030; 11-3010; 11-3020; 11-3130; 11-9020; 11-9030","11-1011; 11-2011; 11-2021; 11-2022; 11-3021; 11-3131; 11-9021","","","Strategic Thinking","https://skills.emsidata.com/skills/KS441075WGFJJ4GRFG2Q",""
"https://osmt.wgu.edu/api/skills/cfec10d3-95cf-4b4e-be1b-b5541ff72955","Team Activities Organization","Western Governors University","Organize team activities to recognize milestones and achievements.","Team Leadership","Team Leadership; Leading Teams; MS Office; WGUSID: 8365","NICE_SP_RSK; NICE_SP_DEV; NICE_SP_ARC; NICE_SP_TRD; NICE_SP_SRP; NICE_SP_TST; NICE_SP_SYS; NICE_OV_MGT; NICE_AN_TWA; NICE_AN_EXP; NICE_AN_ASA; NICE_AN_TGT; NICE_AN_LNG; NICE_CO_CLO; NICE_CO_OPL; NICE_CO_OPS; NICE_OV_PMA; NICE_OM_ANA; NICE_OV_EXL","","11-0000","11-1000; 11-2000; 11-3000; 11-9000","11-1010; 11-1020; 11-2010; 11-2020; 11-2030; 11-3010; 11-3020; 11-3050; 11-9020; 11-9110; 11-9190","11-1011; 11-1021; 11-2011; 11-2021; 11-2022; 11-3021; 11-3051; 11-9021; 11-9111; 11-9198","","","Team Leadership","https://skills.emsidata.com/skills/KS4418462TTGKL3CWJHT",""
"https://osmt.wgu.edu/api/skills/e86703c4-55cc-47b5-9a45-234bcd5873de","Trust Creation","Western Governors University","Create trust by providing and requesting open and honest feedback between team members.","Teamwork","Character; 21st_Century_Skills; Team Oriented; Teamwork; Educational Leadership; Team Building; Team Management; MS Office; WGUSID: 8736; NGT","NICE_SP_RSK; NICE_SP_DEV; NICE_SP_ARC; NICE_SP_TRD; NICE_SP_SRP; NICE_SP_TST; NICE_SP_SYS; NICE_OV_MGT; NICE_AN_TWA; NICE_AN_EXP; NICE_AN_ASA; NICE_AN_TGT; NICE_AN_LNG; NICE_CO_CLO; NICE_CO_OPL; NICE_CO_OPS; NICE_OV_PMA; NICE_OM_ANA; NICE_OM_NET; NICE_OM_ADM; NICE_OV_SPP; NICE_OV_EXL; NICE_OV_LGA; NICE_OV_TEA; NICE_OM_DTA; NICE_OM_STS","","11-0000; 33-0000","11-1000; 11-2000; 11-3000; 11-9000; 33-1000; 33-3000","11-1010; 11-1020; 11-2010; 11-2020; 11-2030; 11-3020; 11-9020; 11-9030; 11-9110; 11-9150; 33-1010; 33-3020; 33-3050","11-1011; 11-1021; 11-2011; 11-2021; 11-2022; 11-3021; 11-9021; 11-9111; 11-9151","","","Teamwork","https://skills.emsidata.com/skills/KSKJX44T33B6D4UCC8CB",""
"https://osmt.wgu.edu/api/skills/48510bf5-d44c-4c51-bbda-d6027f3646f8","Decision-Making Alternatives Evaluation","Western Governors University","Evaluate alternatives against defined criteria in a decision-making activity.","Decision Making","Decision Making; Microsoft Excel; Microsoft Word; WGUSID: 8181","NICE_SP_RSK; NICE_SP_DEV; NICE_SP_ARC; NICE_SP_TRD; NICE_SP_SRP; NICE_SP_TST; NICE_SP_SYS; NICE_OV_MGT; NICE_AN_TWA; NICE_AN_EXP; NICE_AN_ASA; NICE_AN_TGT; NICE_AN_LNG; NICE_CO_CLO; NICE_CO_OPL; NICE_CO_OPS; NICE_OV_PMA; NICE_PR_CIR; NICE_IN_FOR; ATD.Prof.EI; ATD.Prof.ID; ATD.Prof.TDF; ISTE.Coach.C.3a; ISTE.Coach.CA.1a; ISTE.Coach.CA.1c; ISTE.Coach.CL.2c; ISTE.Coach.LD.4a; ISTE.Coach.LD.4d; ISTE.Coach.PLF.5b; ATD.Pers.CL; ATD.Pers.PM; NICE_PR_CDA; ATD.Org.CBP; NICE_PR_INF; NICE_OV_SPP; NICE_OV_EXL; NICE_OV_LGA; NICE_OV_TEA","","11-0000; 33-0000","11-1000; 11-2000; 11-3000; 11-9000; 33-1000; 33-3000","11-1010; 11-1020; 11-2010; 11-2020; 11-2030; 11-3010; 11-3020; 11-3030; 11-3050; 11-3060; 11-3070; 11-3110; 11-3120; 11-3130; 11-9020; 11-9030; 11-9110; 11-9150; 11-9190; 33-1010; 33-3020; 33-3050","11-1011; 11-1021; 11-2011; 11-2021; 11-2022; 11-3021; 11-3031; 11-3051; 11-3061; 11-3071; 11-3111; 11-3121; 11-3131; 11-9021; 11-9111; 11-9151; 11-9198","","","Decision Making","https://skills.emsidata.com/skills/KS121W46CJXQ5ZQ506MS",""
"https://osmt.wgu.edu/api/skills/6ed6763f-df00-4de7-8940-61907d91fc1a","Decision-Making Constraint Identification","Western Governors University","Identify the constraints that limit options in a decision-making activity.","Decision Making","Decision Making; Microsoft Excel; Microsoft Word; WGUSID: 8180","NICE_SP_RSK; NICE_SP_DEV; NICE_SP_ARC; NICE_SP_TRD; NICE_SP_SRP; NICE_SP_TST; NICE_SP_SYS; NICE_OV_MGT; NICE_AN_TWA; NICE_AN_EXP; NICE_AN_ASA; NICE_AN_TGT; NICE_AN_LNG; NICE_CO_CLO; NICE_CO_OPL; NICE_CO_OPS; NICE_OV_PMA; NICE_PR_CIR; NICE_IN_INV; NICE_IN_FOR; ATD.Prof.EI; ATD.Prof.ID; ATD.Prof.TDF; ISTE.Coach.C.3a; ISTE.Coach.CA.1a; ISTE.Coach.CA.1c; ISTE.Coach.CL.2c; ISTE.Coach.LD.4a; ISTE.Coach.LD.4d; ISTE.Coach.PLF.5b; ATD.Pers.CL; ATD.Pers.PM; NICE_PR_CDA; NICE_PR_VAM; ATD.Org.CBP; NICE_PR_INF; NICE_OV_SPP; NICE_OV_EXL; NICE_OV_LGA; NICE_OV_TEA","","11-0000; 33-0000","11-1000; 11-2000; 11-3000; 11-9000; 33-1000; 33-3000","11-1010; 11-1020; 11-2010; 11-2020; 11-2030; 11-3010; 11-3020; 11-3030; 11-3050; 11-3060; 11-3070; 11-3110; 11-3120; 11-3130; 11-9020; 11-9030; 11-9110; 11-9150; 11-9190; 33-1010; 33-3020; 33-3050","11-1011; 11-1021; 11-2011; 11-2021; 11-2022; 11-3021; 11-3031; 11-3051; 11-3061; 11-3071; 11-3111; 11-3121; 11-3131; 11-9021; 11-9111; 11-9151; 11-9198","","","Decision Making","https://skills.emsidata.com/skills/KS121W46CJXQ5ZQ506MS",""
"https://osmt.wgu.edu/api/skills/5ec93ea6-391c-4e33-aa96-0213040fced6","Decision-Making Activity Goals","Western Governors University","Define the goals for a decision-making activity.","Decision Making","Microsoft Excel; Microsoft Word; WGUSID: 8179","NICE_SP_RSK; NICE_SP_DEV; NICE_SP_ARC; NICE_SP_TRD; NICE_SP_SRP; NICE_SP_TST; NICE_SP_SYS; NICE_OV_MGT; NICE_AN_TWA; NICE_AN_EXP; NICE_AN_ASA; NICE_AN_TGT; NICE_AN_LNG; NICE_CO_CLO; NICE_CO_OPL; NICE_CO_OPS; NICE_OV_PMA; NICE_PR_CIR; ATD.Prof.ID; ATD.Prof.TDF; ISTE.Coach.C.3a; ISTE.Coach.CA.1a; ISTE.Coach.CA.1c; ISTE.Coach.CL.2c; ISTE.Coach.LD.4a; ISTE.Coach.LD.4d; ISTE.Coach.PLF.5b; ATD.Pers.CL; ATD.Pers.PM; NICE_PR_CDA; ATD.Org.CBP; NICE_PR_INF; NICE_OV_SPP; NICE_OV_EXL; NICE_OV_LGA; NICE_OV_TEA","","11-0000; 33-0000","11-1000; 11-2000; 11-3000; 11-9000; 33-1000; 33-3000","11-1010; 11-1020; 11-2010; 11-2020; 11-2030; 11-3010; 11-3020; 11-3030; 11-3050; 11-3060; 11-3070; 11-3110; 11-3120; 11-3130; 11-9020; 11-9030; 11-9110; 11-9150; 11-9190; 33-1010; 33-3020; 33-3050","11-1011; 11-1021; 11-2011; 11-2021; 11-2022; 11-3021; 11-3031; 11-3051; 11-3061; 11-3071; 11-3111; 11-3121; 11-3131; 11-9021; 11-9111; 11-9151; 11-9198","","","Decision Making","https://skills.emsidata.com/skills/KS121W46CJXQ5ZQ506MS",""
"https://osmt.wgu.edu/api/skills/326d32f1-6294-4b47-b7f4-7917e898cb0e","Alternative Task Process Creation","Western Governors University","Create detail-oriented, alternative processes proactively for a task to minimize rework.","Detail Oriented","Detail Oriented; Microsoft Excel; Microsoft Word; Google Docs; Google Sheets; WGUSID: 8184","NICE_SP_RSK; NICE_SP_DEV; NICE_SP_ARC; NICE_SP_TRD; NICE_SP_SRP; NICE_SP_TST; NICE_SP_SYS; NICE_OV_MGT; NICE_AN_TWA; NICE_AN_EXP; NICE_AN_ASA; NICE_AN_TGT; NICE_AN_LNG; NICE_CO_CLO; NICE_CO_OPL; NICE_CO_OPS; NICE_OV_PMA; NICE_OM_ANA; NICE_PR_CIR; ATD.Prof.ID; ATD.Prof.TDF; ATD.Pers.CL; ATD.Pers.PM; NICE_OM_NET; NICE_OM_ADM; NICE_PR_CDA; ATD.Org.CBP; NICE_OV_SPP; NICE_OV_EXL; NICE_OV_LGA; NICE_OV_TEA; NICE_OM_DTA; NICE_OM_STS","","11-0000; 33-0000","11-1000; 11-2000; 11-3000; 11-9000; 33-1000; 33-3000","11-1010; 11-1020; 11-2010; 11-2020; 11-2030; 11-3010; 11-3020; 11-3030; 11-3050; 11-3060; 11-3070; 11-3110; 11-3120; 11-3130; 11-9020; 11-9030; 11-9110; 11-9150; 11-9190; 33-1010; 33-3020; 33-3050","11-1011; 11-1021; 11-2011; 11-2021; 11-2022; 11-3021; 11-3031; 11-3051; 11-3061; 11-3071; 11-3111; 11-3121; 11-3131; 11-9021; 11-9111; 11-9151; 11-9198","","","Detail Oriented","https://skills.emsidata.com/skills/KSQPGV2XZO8UMNCC49LK",""
